"id","name"
31,"Tom Hanks"
12898,"Tim Allen"
7167,"Don Rickles"
12899,"Jim Varney"
12900,"Wallace Shawn"
2157,"Robin Williams"
8537,"Jonathan Hyde"
205,"Kirsten Dunst"
145151,"Bradley Pierce"
5149,"Bonnie Hunt"
6837,"Walter Matthau"
3151,"Jack Lemmon"
13567,"Ann-Margret"
16757,"Sophia Loren"
589,"Daryl Hannah"
8851,"Whitney Houston"
9780,"Angela Bassett"
18284,"Loretta Devine"
51359,"Lela Rochon"
66804,"Gregory Hines"
67773,"Steve Martin"
3092,"Diane Keaton"
519,"Martin Short"
70696,"Kimberly Williams-Paisley"
59222,"George Newbern"
1158,"Al Pacino"
380,"Robert De Niro"
5576,"Val Kilmer"
10127,"Jon Voight"
3197,"Tom Sizemore"
3,"Harrison Ford"
15887,"Julia Ormond"
17141,"Greg Kinnear"
4301,"Angie Dickinson"
12957,"Nancy Marchand"
53283,"Jonathan Taylor Thomas"
51214,"Brad Renfro"
38581,"Rachael Leigh Cook"
8316,"Michael McShane"
87007,"Amy Wright"
15111,"Jean-Claude Van Damme"
6280,"Powers Boothe"
8656,"Dorian Harewood"
10361,"Raymond J. Barry"
12928,"Ross Malinger"
517,"Pierce Brosnan"
48,"Sean Bean"
10695,"Izabella Scorupco"
10696,"Famke Janssen"
10671,"Joe Don Baker"
3392,"Michael Douglas"
516,"Annette Bening"
521,"Michael J. Fox"
8349,"Martin Sheen"
63279,"Anna Deavere Smith"
7633,"Leslie Nielsen"
14639,"Mel Brooks"
1219,"Amy Yasbeck"
12688,"Peter MacNicol"
12812,"Lysette Anthony"
4724,"Kevin Bacon"
382,"Bob Hoskins"
2233,"Bridget Fonda"
12077,"Jim Cummings"
110001,"Phil Collins"
4173,"Anthony Hopkins"
11148,"Joan Allen"
228,"Ed Harris"
16935,"Geena Davis"
8654,"Matthew Modine"
8924,"Frank Langella"
7868,"Maury Chaykin"
8979,"Patrick Malahide"
4430,"Sharon Stone"
4517,"Joe Pesci"
4512,"James Woods"
204,"Kate Winslet"
7056,"Emma Thompson"
3291,"Hugh Grant"
207,"Tom Wilkinson"
4566,"Alan Rickman"
3129,"Tim Roth"
3131,"Antonio Banderas"
3130,"Jennifer Beals"
3125,"Madonna"
3141,"Marisa Tomei"
206,"Jim Carrey"
3547,"Ian McNeice"
4001,"Simon Callow"
57096,"Maynard Eziashi"
4029,"Bob Gunton"
10814,"Wesley Snipes"
57755,"Woody Harrelson"
16866,"Jennifer Lopez"
9287,"Robert Blake"
2955,"Chris Cooper"
8891,"John Travolta"
193,"Gene Hackman"
14343,"Rene Russo"
518,"Danny DeVito"
1117,"Dennis Farina"
10205,"Sigourney Weaver"
18686,"Holly Hunter"
883,"Will Patton"
18687,"William McNamara"
18688,"Harry Connick Jr."
16483,"Sylvester Stallone"
1231,"Julianne Moore"
58556,"Anatoli Davydov"
17348,"Muse Watson"
2453,"Mary Steenburgen"
54789,"Sean Patrick Flanery"
2714,"Lance Henriksen"
4785,"Jeff Goldblum"
36637,"Brandon Smith"
2963,"Nicolas Cage"
1951,"Elisabeth Shue"
6104,"Julian Sands"
6105,"Richard Lewis"
6106,"Steven Weber"
2975,"Laurence Fishburne"
1350,"Irène Jacob"
11181,"Kenneth Branagh"
27631,"Nathaniel Parker"
232174,"Indra Ové"
6886,"Christina Ricci"
12929,"Rosie ODonnell"
2155,"Thora Birch"
29369,"Melanie Griffith"
12930,"Gaby Hoffmann"
30318,"Amanda Root"
8785,"Ciarán Hinds"
87415,"Susan Fleetwood"
10981,"Fiona Shaw"
14465,"John Woodvine"
2372,"Ron Perlman"
2413,"Dominique Pinon"
13842,"Judith Vittet"
13843,"Daniel Emilfork"
13687,"Jean-Claude Dreyfus"
643,"Gong Li"
0,"150151"
1160,"Michelle Pfeiffer"
10477,"George Dzundza"
24047,"Courtney B. Vance"
11902,"Robin Bartlett"
12642,"John Neville"
62,"Bruce Willis"
289,"Madeleine Stowe"
287,"Brad Pitt"
290,"Christopher Plummer"
52,"David Morse"
4138,"Craig Sheffer"
4513,"Elizabeth McGovern"
3999,"Tom Hulce"
58406,"Ken Pogue"
554094,"Ron Sauvé"
58136,"Christine Cavanaugh"
6199,"Miriam Margolyes"
52699,"Danny Mann"
1331,"Hugo Weaving"
35109,"Miriam Flynn"
378,"Jonathan Pryce"
27764,"Steven Waddington"
54447,"Samuel West"
17328,"Rufus Sewell"
4038,"Susan Sarandon"
2228,"Sean Penn"
10360,"Robert Prosky"
8655,"R. Lee Ermey"
1467084,"Peter Reznick"
1467085,"John McDonough"
1467086,"Avi Hoffman"
19208,"Matt Malloy"
1218074,"Abby Lewis"
1796,"Kirstie Alley"
26472,"Steve Guttenberg"
67848,"Ashley Olsen"
67849,"Mary-Kate Olsen"
92255,"Jane Sibbett"
5588,"Alicia Silverstone"
58150,"Stacey Dash"
328,"Brittany Murphy"
22226,"Paul Rudd"
49002,"Donald Faison"
15152,"James Earl Jones"
17764,"Charles S. Dutton"
123831,"Jack Robinson"
123833,"Tsholofelo Wechoemang"
123834,"Ramalao Makhene"
1327,"Ian McKellen"
388,"Jim Broadbent"
5470,"Kristin Scott Thomas"
42566,"Adrian Dunbar"
18291,"Larenz Tate"
65827,"Keith David"
66,"Chris Tucker"
6862,"Freddy Rodríguez"
69447,"Rose Jackson"
3223,"Robert Downey Jr."
5344,"Meg Ryan"
4783,"Sam Neill"
11207,"David Thewlis"
38559,"Christopher Lambert"
57250,"Robin Shou"
57251,"Linden Ashby"
11398,"Cary-Hiroyuki Tagawa"
20751,"Bridgette Wilson"
2227,"Nicole Kidman"
2876,"Matt Dillon"
73421,"Joaquin Phoenix"
1893,"Casey Affleck"
7796,"Illeana Douglas"
1920,"Winona Ryder"
10774,"Anne Bancroft"
9560,"Ellen Burstyn"
18794,"Kate Nelligan"
14500,"Jean Simmons"
192,"Morgan Freeman"
12052,"Gwyneth Paltrow"
11885,"John C. McGinley"
1979,"Kevin Spacey"
65529,"Irene Bedard"
2461,"Mel Gibson"
28010,"David Ogden Stiers"
31365,"John Kassir"
3203,"Russell Means"
54818,"Pascale Bussières"
54819,"Rachael Crawford"
15319,"Henry Czerny"
20173,"Don McKellar"
9045,"Stephen Baldwin"
5168,"Gabriel Byrne"
9046,"Chazz Palminteri"
7166,"Kevin Pollak"
4935,"Pete Postlethwaite"
74375,"Cynthia Rothrock"
63941,"Marshall R. Teague"
1093379,"Daniel McVicar"
42137,"Lydie Denier"
53552,"John OLeary"
1243,"Woody Allen"
23931,"Mira Sorvino"
1283,"Helena Bonham Carter"
1164,"F. Murray Abraham"
10560,"Donald Symington"
27392,"Enrico Lo Verso"
25819,"Michele Placido"
1149435,"Piro Milkani"
1180060,"Carmelo Di Mazzarelli"
1904515,"Marjeta Ljarja"
46423,"Olivia dAbo"
6067,"Jay O. Sanders"
8659,"John Terry"
69395,"Bug Hall"
10431,"Jennifer Jason Leigh"
51544,"Mare Winningham"
15854,"Ted Levine"
7268,"Max Perlich"
42746,"John Doe"
198643,"Johnny Morina"
56890,"Malcolm McDowell"
41743,"Maggie Castle"
1569328,"James Rae"
11086,"Michael Ironside"
1466,"Charles Durning"
6194,"Claire Danes"
24366,"Philippe Noiret"
67792,"Massimo Troisi"
10777,"Maria Grazia Cucinotta"
14149,"Renato Scarpa"
538696,"Linda Moretti"
38524,"Lothaire Bluteau"
1019878,"Patrick Goyette"
1019879,"Jean-Louis Millette"
223877,"Ron Burrage"
69301,"Hal Scardino"
69302,"Litefoot"
32225,"Lindsay Crouse"
28633,"Richard Jenkins"
1318612,"Rishi Bhat"
35,"Sally Field"
2628,"Kiefer Sutherland"
821,"Beverly DAngelo"
33689,"Charlayne Woodard"
3037,"Richard Dreyfuss"
21104,"Glenne Headly"
21105,"Jay Thomas"
3019,"Olympia Dukakis"
3905,"William H. Macy"
35690,"Shawn Wayans"
9562,"Marlon Wayans"
66131,"Tracey Cherelle Jones"
27590,"Chris Spencer"
2535,"Vivica A. Fox"
18277,"Sandra Bullock"
5724,"Denis Leary"
5050,"Yaphet Kotto"
8435,"Stephen Dillane"
64998,"Pauly Shore"
16484,"Joey Lauren Adams"
43433,"Teresa Hill"
7676,"William Atherton"
29459,"Patrick Bergin"
40009,"Matt Frewer"
58119,"Austin OBrien"
36898,"Ely Pouget"
72612,"Camille Cooper"
124150,"Jerry Barone"
1161,"Mary Elizabeth Mastrantonio"
4887,"Joe Grifasi"
25879,"Geoff Pierson"
25256,"Victoria Abril"
35137,"Josiane Balasko"
4275,"Alain Chabat"
13689,"Ticky Holgado"
35908,"Catherine Hiegel"
9778,"Ice Cube"
9781,"Nia Long"
8396,"Tom Lister Jr."
56902,"John Witherspoon"
1461,"George Clooney"
138,"Quentin Tarantino"
1037,"Harvey Keitel"
3196,"Juliette Lewis"
11158,"Ernest Liu"
13021,"William Baldwin"
33665,"Cindy Crawford"
782,"Steven Berkoff"
4443,"Christopher McDonald"
