,imdb_id,rating,rating_count,review_count,critics_count
15000,tt1149363,6.7,304,2,18
15001,tt1371630,6.9,4606,26,84
15002,tt0049043,8.0,944,7,3
15003,tt0271029,7.8,2734,5,16
15004,tt0107214,7.9,2482,7,3
15005,tt1149361,7.2,26223,70,212
15006,tt0800320,5.8,243475,642,341
15007,tt0128089,4.7,184,6,5
15008,tt0456543,6.1,142,2,
15009,tt0044518,7.4,1732,19,24
15010,tt1300159,4.9,3449,24,25
15011,tt0063633,8.1,4995,16,63
15012,tt1303828,6.8,32986,93,64
15013,tt1445202,5.9,311,9,6
15014,tt0227194,5.5,3947,8,3
15015,tt0331639,6.1,3989,19,9
15016,tt1319694,6.5,4622,69,23
15017,tt1250777,7.7,469569,816,446
15018,tt0844948,6.4,1805,5,3
15019,tt1010265,6.8,1824,3,8
15020,tt0346723,6.6,12532,28,14
15021,tt1238291,6.7,11218,52,86
15022,tt0052876,7.2,2776,49,16
15023,tt0027413,7.7,1456,24,4
15024,tt0070760,7.5,191,7,11
15025,tt0113526,6.9,10557,19,5
15026,tt1279935,6.3,136505,216,250
15027,tt0100369,6.2,3290,34,33
15028,tt0401398,5.9,8168,29,30
15029,tt0065491,6.2,2386,72,115
15030,tt0077275,6.5,2118,14,10
15031,tt0838247,5.9,32841,142,138
15032,tt0462219,6.1,4101,34,9
15033,tt0048791,7.0,2096,24,11
15034,tt0052190,6.9,1923,27,7
15035,tt1183697,6.7,171,0,14
15036,tt0785025,7.1,1434,17,5
15037,tt0499665,6.7,128,2,
15038,tt1489246,7.3,165,1,3
15039,tt0021873,7.3,1276,40,24
15040,tt0411323,5.8,2424,31,33
15041,tt1192613,4.8,1072,16,34
15042,tt0023241,7.2,1075,25,12
15043,tt0031747,6.4,1698,35,17
15044,tt1281374,5.9,2118,17,36
15045,tt1519402,6.7,171,0,10
15046,tt0903622,2.6,669,23,8
15047,tt1583323,8.0,2245,17,20
15048,tt0314121,5.2,2850,17,12
15049,tt0783767,5.9,4730,34,64
15050,tt1033467,7.9,1535,7,3
15051,tt1390535,5.4,9385,102,80
15052,tt1188113,6.3,9358,58,23
15053,tt0004707,7.1,2896,37,18
15054,tt1017451,6.6,41894,130,261
15055,tt1422758,7.3,285,0,
15056,tt0218871,7.4,4728,6,14
15057,tt0064828,6.9,2221,15,46
15058,tt1303889,7.2,681,4,23
15059,tt0799991,7.3,2749,25,24
15060,tt0051786,6.1,3689,114,80
15061,tt0236638,4.2,2198,42,49
15062,tt0468704,7.6,5018,18,20
15063,tt1267160,6.8,3096,23,14
15064,tt0038182,6.8,2636,27,30
15065,tt0372359,6.2,726,2,
15066,tt1059817,6.2,272,4,3
15067,tt0960066,4.4,957,21,55
15068,tt0036947,5.8,1263,21,22
15069,tt0087981,6.0,4333,57,41
15070,tt0783515,6.6,4567,29,28
15071,tt1479676,5.5,253,3,8
15072,tt1014809,7.1,4073,24,45
15073,tt1269734,5.0,1927,24,9
15074,tt0022879,6.6,3911,50,41
15075,tt0038390,6.4,2018,46,11
15076,tt0810868,6.7,4039,19,22
15077,tt0066561,5.2,1780,59,41
15078,tt1159961,7.7,1967,8,51
15079,tt1116182,6.4,1793,12,7
15080,tt0055382,6.6,1990,49,16
15081,tt0884762,8.5,2192,10,7
15082,tt1153037,6.2,369,11,
15083,tt1358383,8.0,523,2,2
15084,tt0063094,7.0,1479,32,8
15085,tt0034646,6.9,1613,37,13
15086,tt1321509,5.7,38946,103,118
15087,tt0862467,6.0,47922,282,161
15088,tt0086232,4.9,1073,23,7
15089,tt1196141,6.2,35618,108,108
15090,tt0964586,6.9,2935,18,39
15091,tt0222024,5.4,5377,16,13
15092,tt0033987,6.9,1050,29,13
15093,tt0048705,6.4,1932,36,13
15094,tt0045589,6.5,1521,19,2
15095,tt0036929,6.3,519,19,5
15096,tt0043629,6.3,74,7,1
15097,tt1039647,8.3,7330,11,7
15098,tt0043459,7.4,1902,46,24
15099,tt1226236,7.0,15761,118,179
15100,tt1520496,3.9,1714,26,12
15101,tt1083845,6.8,7543,31,12
15102,tt0445953,6.6,4794,38,86
15103,tt1241707,6.2,374,15,24
15104,tt0092580,5.8,2263,25,21
15105,tt0078269,7.5,3590,62,37
15106,tt0790721,5.4,2269,32,9
15107,tt0430224,6.9,2221,21,42
15108,tt1587414,5.8,1334,9,7
15109,tt1318044,4.3,7014,10,8
15110,tt1379182,7.3,55222,195,215
15111,tt0791303,6.1,5707,53,67
15112,tt1124052,7.7,8974,63,149
15113,tt0096046,5.6,3551,108,81
15114,tt0072752,5.8,3435,59,115
15115,tt0119004,5.9,3536,16,14
15116,tt1105281,5.6,233,3,3
15117,tt1226752,3.7,813,16,8
15118,tt0084778,7.2,213,3,1
15119,tt0101930,7.2,103,2,2
15120,tt1294136,5.2,1354,12,17
15121,tt0996435,6.5,1685,13,26
15122,tt1217243,7.4,2592,11,34
15123,tt0240732,4.9,495,12,5
15124,tt1452291,7.0,805,5,12
15125,tt0044117,5.7,341,13,
15126,tt0480255,6.4,79004,167,212
15127,tt1198408,6.1,2328,29,22
15128,tt0069058,6.8,1404,7,11
15129,tt1294226,5.9,66971,190,120
15130,tt0085318,4.8,1775,32,50
15131,tt1336617,6.3,31468,127,223
15132,tt1467304,4.4,62775,433,302
15133,tt0014532,7.0,1496,30,9
15134,tt0036430,6.0,783,30,14
15135,tt0200689,7.2,175,1,
15136,tt0333902,7.0,240,3,4
15137,tt0068264,5.3,1830,34,26
15138,tt0025607,7.8,1107,19,3
15139,tt1587707,8.0,55649,107,230
15140,tt0055489,7.8,1472,28,13
15141,tt0418815,6.6,50,2,10
15142,tt0223783,6.4,563,9,42
15143,tt1027091,8.2,577,8,3
15144,tt0033787,5.3,1589,82,32
15145,tt0054016,6.7,1434,52,10
15146,tt0029310,7.3,1639,31,10
15147,tt0032842,7.3,3440,42,29
15148,tt0041746,7.2,2142,40,18
15149,tt0062377,6.4,2236,26,13
15150,tt0204504,6.3,387,4,30
15151,tt0970452,6.1,62637,139,142
15152,tt0033405,7.0,1800,37,28
15153,tt1228705,7.0,578642,746,456
15154,tt1483831,6.9,10007,57,171
15155,tt0037832,6.4,702,21,8
15156,tt0034636,6.1,269,12,4
15157,tt1584813,7.4,2680,5,9
15158,tt1392197,4.2,12239,65,95
15159,tt1470023,5.5,37951,129,140
15160,tt1106860,6.0,8117,39,26
15161,tt0368668,3.1,2836,13,10
15162,tt0324242,6.3,2970,23,34
15163,tt0090206,6.6,2869,11,6
15164,tt0383846,8.4,7562,12,3
15165,tt1056437,6.8,4781,33,65
15166,tt0405866,6.7,2359,19,63
15167,tt0338977,6.9,2527,19,34
15168,tt0102050,6.8,2529,22,19
15169,tt0068457,6.8,3385,78,77
15170,tt0074857,7.4,3017,21,17
15171,tt1329454,6.6,5554,30,104
15172,tt0843270,7.7,2387,9,11
15173,tt0892074,4.3,867,16,15
15174,tt0046424,6.1,231,8,3
15175,tt0054380,7.1,98,3,3
15176,tt0110524,6.2,2218,16,14
15177,tt1249294,5.2,1793,25,16
15178,tt0956101,7.3,1422,7,25
15179,tt0060978,5.7,226,8,4
15180,tt0027255,5.6,118,8,1
15181,tt1219836,5.9,3852,42,9
15182,tt0064777,7.1,253,6,6
15183,tt0808285,6.9,3845,15,61
15184,tt0381940,6.2,16899,66,65
15185,tt1179056,5.2,80707,659,365
15186,tt1341167,7.3,61856,160,244
15187,tt0472840,6.2,71,0,1
15188,tt0075774,5.9,3155,30,14
15189,tt1111890,5.8,8829,18,18
15190,tt1237900,7.2,386,8,9
15191,tt1376195,6.5,3186,28,10
15192,tt0492389,3.8,13346,89,100
15193,tt1355640,7.7,2307,15,27
15194,tt1241338,7.0,511,9,18
15195,tt1640680,7.6,8535,28,83
15196,tt0036384,6.6,1231,35,5
15197,tt1132623,7.7,23495,61,42
15198,tt1210106,5.4,6874,28,10
15199,tt1379177,6.8,22297,100,204
15200,tt0118528,7.8,11297,88,19
15201,tt0468774,5.6,293,4,6
15202,tt0955308,6.7,226403,567,345
15203,tt0065695,7.6,1657,9,30
