,imdb_id,rating,rating_count,review_count,critics_count
30000,tt0439876,5.6,1134,33,14
30001,tt0046468,6.9,177,1,6
30002,tt0049973,6.0,401,22,1
30003,tt0017809,7.4,464,9,6
30004,tt1881060,5.4,2461,27,33
30005,tt0011193,6.7,227,12,4
30006,tt4657764,3.8,175,0,1
30007,tt0059855,8.2,1277,10,2
30008,tt2486678,7.1,13523,59,49
30009,tt2219650,7.6,856,13,35
30010,tt1739304,7.8,24,7,5
30011,tt0484881,4.3,847,16,20
30012,tt0118949,5.7,1235,40,4
30013,tt0089776,5.8,840,4,2
30014,tt0039372,6.5,1006,43,19
30015,tt0086561,7.4,378,3,
30016,tt0072613,8.0,2468,6,1
30017,tt0065457,8.1,755,1,
30018,tt0128960,7.9,712,3,
30019,tt0169815,5.1,41,0,
30020,tt0068539,5.9,1026,17,2
30021,tt0062130,6.0,95,4,
30022,tt2547942,2.2,699,20,3
30023,tt0062428,7.7,277,2,3
30024,tt0062907,8.1,858,1,
30025,tt0065671,7.4,453,8,1
30026,tt0070262,7.9,1021,5,1
30027,tt0066124,7.9,608,3,3
30028,tt0068963,7.6,232,2,2
30029,tt0057694,8.0,1802,7,
30030,tt0123186,8.1,757,7,
30031,tt0079619,7.8,1620,11,7
30032,tt0059529,8.3,1158,2,5
30033,tt2192582,7.1,1148,2,1
30034,tt0874952,8.1,1175,10,6
30035,tt0494239,6.5,512,4,23
30036,tt0097118,7.6,679,7,1
30037,tt0416292,7.2,1557,7,4
30038,tt0972546,6.2,210,2,3
30039,tt1224449,6.8,454,5,
30040,tt0372478,7.4,1515,11,5
30041,tt1217565,7.4,2264,0,2
30042,tt0436254,6.6,219,2,
30043,tt0148388,6.8,62,9,3
30044,tt0276613,7.8,969,10,
30045,tt4547120,2.0,5968,101,5
30046,tt0067907,7.1,438,14,14
30047,tt0063790,2.7,1041,42,21
30048,tt0067321,5.0,1291,64,45
30049,tt2497980,5.9,3354,7,10
30050,tt2571226,7.2,162,27,3
30051,tt3659388,8.0,591455,1119,601
30052,tt0069229,6.0,894,15,7
30053,tt0067489,6.0,508,20,15
30054,tt3546370,7.8,1052,8,10
30055,tt2948790,5.0,9305,59,45
30056,tt2146960,8.3,1511,5,
30057,tt1075746,3.3,2828,44,31
30058,tt0075656,4.0,617,42,26
30059,tt2266781,7.9,700,13,15
30060,tt3263690,7.4,511,1,40
30061,tt3472226,8.1,47047,96,72
30062,tt1943765,6.9,1065,7,6
30063,tt2062961,6.5,139,1,8
30064,tt1646979,6.5,345,3,28
30065,tt3447364,7.6,12534,113,28
30066,tt3678782,7.5,16399,142,29
30067,tt2556308,7.4,20157,69,
30068,tt1198196,7.6,2352,0,2
30069,tt0082510,6.3,104,1,
30070,tt0198757,7.2,51,4,1
30071,tt0076779,5.9,92,7,
30072,tt0059935,6.0,33,3,2
30073,tt1266093,7.5,99,2,19
30074,tt3697626,7.2,6691,23,85
30075,tt0068369,6.0,721,10,26
30076,tt0051204,7.3,279,7,10
30077,tt0066372,7.1,247,6,4
30078,tt0053361,7.6,1820,46,15
30079,tt3312830,7.3,56721,145,315
30080,tt0049152,5.7,275,9,3
30081,tt0049019,7.1,374,12,13
30082,tt0046561,7.0,156,7,7
30083,tt0052006,6.4,78,4,1
30084,tt0060662,6.3,284,10,
30085,tt1324059,7.6,21923,51,10
30086,tt0248185,6.8,5360,32,4
30087,tt0323013,7.9,15378,53,23
30088,tt0453729,8.2,12560,26,8
30089,tt0190419,7.4,8855,11,2
30090,tt0114234,7.5,7009,19,2
30091,tt0123381,7.1,350,10,4
30092,tt0088196,8.3,1275,36,12
30093,tt3247714,5.6,25458,110,68
30094,tt4382552,6.1,11326,38,36
30095,tt0056357,7.5,1544,4,1
30096,tt0080037,8.6,2447,16,1
30097,tt0061434,5.3,56,6,
30098,tt0177867,7.3,739,0,
30099,tt0094899,5.1,266,8,13
30100,tt0090179,5.7,81,4,1
30101,tt0093120,6.6,396,6,8
