"","id","title","prediction_score"
"1",862,"Toy Story",0.1
"2",8844,"Jumanji",0
"3",15602,"Grumpier Old Men",0
"4",31357,"Waiting to Exhale",0
"5",11862,"Father of the Bride Part II",0
"6",949,"Heat",0
"7",11860,"Sabrina",-0.1
"8",45325,"Tom and Huck",0
"9",9091,"Sudden Death",0
"10",710,"GoldenEye",0
"11",9087,"The American President",0
"12",12110,"Dracula: Dead and Loving It",0
"13",21032,"Balto",0
"14",10858,"Nixon",0
"15",1408,"Cutthroat Island",0
"16",524,"Casino",0
"17",4584,"Sense and Sensibility",0
"18",5,"Four Rooms",0
"19",9273,"Ace Ventura: When Nature Calls",0
"20",11517,"Money Train",0.5
"21",8012,"Get Shorty",0
"22",1710,"Copycat",0
"23",9691,"Assassins",0
"24",12665,"Powder",0
"25",451,"Leaving Las Vegas",0
"26",16420,"Othello",0
"27",9263,"Now and Then",0
"28",17015,"Persuasion",0
"29",902,"The City of Lost Children",0
"30",37557,"Shanghai Triad",0
"31",9909,"Dangerous Minds",0
"32",63,"Twelve Monkeys",0
"33",78802,"Wings of Courage",0
"34",9598,"Babe",0
"35",47018,"Carrington",0
"36",687,"Dead Man Walking",0
"37",139405,"Across the Sea of Time",0
"38",33689,"It Takes Two",0
"39",9603,"Clueless",0.2
"40",34615,"Cry, the Beloved Country",0
"41",31174,"Richard III",0
"42",11443,"Dead Presidents",0
"43",35196,"Restoration",0
"44",9312,"Mortal Kombat",0
"45",577,"To Die For",0
"46",11861,"How To Make An American Quilt",0
"47",807,"Se7en",0
"48",10530,"Pocahontas",0
"49",8391,"When Night Is Falling",0
"50",629,"The Usual Suspects",0
"51",117164,"Guardian Angel",0
"52",11448,"Mighty Aphrodite",0
"53",49133,"Lamerica",0
"54",26441,"The Big Green",0
"55",97406,"Georgia",0
"56",124057,"Kids of the Round Table",0
"57",9089,"Home for the Holidays",0
"58",11010,"The Postman",0
"59",99040,"The Confessional",0
"60",11359,"The Indian in the Cupboard",0
"61",17182,"Eye for an Eye",0.1
"62",2054,"Mr. Holland's Opus",0
"63",10607,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",0
"64",19760,"Two If by Sea",0.4
"65",9536,"Bio-Dome",0
"66",11525,"Lawnmower Man 2: Beyond Cyberspace",0
"67",40628,"Two Bits",0
"68",4482,"French Twist",0
"69",10634,"Friday",0
