"","id","title","prediction_score"
"1",862,"Toy Story",2.5
"2",8844,"Jumanji",2
"3",15602,"Grumpier Old Men",2
"4",31357,"Waiting to Exhale",2.33333333333333
"5",11862,"Father of the Bride Part II",3.5
"6",949,"Heat",3.125
"7",11860,"Sabrina",2
"8",45325,"Tom and Huck",2.75
"9",9091,"Sudden Death",3.66666666666667
"10",710,"GoldenEye",3.66666666666667
"11",9087,"The American President",2.33333333333333
"12",12110,"Dracula: Dead and Loving It",1.75
"13",21032,"Balto",2.66666666666667
"14",10858,"Nixon",1.5
"15",1408,"Cutthroat Island",3
"16",524,"Casino",2.75
"17",4584,"Sense and Sensibility",1.75
"18",5,"Four Rooms",3
"19",9273,"Ace Ventura: When Nature Calls",3.33333333333333
"20",11517,"Money Train",2.66666666666667
"21",8012,"Get Shorty",3.66666666666667
"22",1710,"Copycat",4
"23",9691,"Assassins",3.375
"24",12665,"Powder",2.5
"25",451,"Leaving Las Vegas",1.75
"26",16420,"Othello",3
"27",9263,"Now and Then",2.83333333333333
"28",17015,"Persuasion",1.75
"29",902,"The City of Lost Children",2
"30",37557,"Shanghai Triad",2.75
"31",9909,"Dangerous Minds",2.75
"32",63,"Twelve Monkeys",2.33333333333333
"33",78802,"Wings of Courage",2.25
"34",9598,"Babe",2.125
"35",47018,"Carrington",1.16666666666667
"36",687,"Dead Man Walking",3
"37",139405,"Across the Sea of Time",2.25
"38",33689,"It Takes Two",2
"39",9603,"Clueless",2.33333333333333
"40",34615,"Cry, the Beloved Country",3
"41",31174,"Richard III",1.5
"42",11443,"Dead Presidents",1.875
"43",35196,"Restoration",1.75
"44",9312,"Mortal Kombat",1
"45",577,"To Die For",2.875
"46",11861,"How To Make An American Quilt",1.75
"47",807,"Se7en",2.5
"48",10530,"Pocahontas",2.75
"49",8391,"When Night Is Falling",1.75
"50",629,"The Usual Suspects",3.5
"51",117164,"Guardian Angel",3.33333333333333
"52",11448,"Mighty Aphrodite",2
"53",49133,"Lamerica",1.5
"54",26441,"The Big Green",2.875
"55",97406,"Georgia",3
"56",124057,"Kids of the Round Table",0
"57",9089,"Home for the Holidays",2.33333333333333
"58",11010,"The Postman",2.33333333333333
"59",99040,"The Confessional",2.66666666666667
"60",11359,"The Indian in the Cupboard",2
"61",17182,"Eye for an Eye",4
"62",2054,"Mr. Holland's Opus",1.66666666666667
"63",10607,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",3.5
"64",19760,"Two If by Sea",2
"65",9536,"Bio-Dome",3.5
"66",11525,"Lawnmower Man 2: Beyond Cyberspace",2
"67",40628,"Two Bits",2.5
"68",4482,"French Twist",2
"69",10634,"Friday",3.5
"70",755,"From Dusk Till Dawn",2.375
"71",11859,"Fair Game",2.5
"72",28387,"Kicking and Screaming",2.33333333333333
"73",48750,"Les Miserables",1.5
